report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208864,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208759,kg/s,1,kg/(s*m)
mass_flow,net,0.00010442145,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,36297.042,W,1,W/m
heat_transfer,wall_vane_fluid_side,-36297.042,W,1,W/m
heat_transfer,cooling_hole_01,-4070.5643,W,1,W/m
heat_transfer,cooling_hole_02,-3867.2059,W,1,W/m
heat_transfer,cooling_hole_03,-3792.5676,W,1,W/m
heat_transfer,cooling_hole_04,-3933.1458,W,1,W/m
heat_transfer,cooling_hole_05,-4583.056,W,1,W/m
heat_transfer,cooling_hole_06,-4027.0771,W,1,W/m
heat_transfer,cooling_hole_07,-4886.4702,W,1,W/m
heat_transfer,cooling_hole_08,-3340.5901,W,1,W/m
heat_transfer,cooling_hole_09,-2176.3733,W,1,W/m
heat_transfer,cooling_hole_10,-1620.0454,W,1,W/m
heat_transfer,cooling_holes_total,-36297.0957,W,1,W/m
wall_yplus,minimum,0.0104585305026,-,1,-
wall_yplus,area_weighted_average,0.304811398581,-,1,-
wall_yplus,maximum,0.452380694384,-,1,-
