report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.209386,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.209257,kg/s,1,kg/(s*m)
mass_flow,net,0.00012942243,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,37577.596,W,1,W/m
heat_transfer,wall_vane_fluid_side,-37577.595,W,1,W/m
heat_transfer,cooling_hole_01,-4212.3466,W,1,W/m
heat_transfer,cooling_hole_02,-3977.5849,W,1,W/m
heat_transfer,cooling_hole_03,-3896.6401,W,1,W/m
heat_transfer,cooling_hole_04,-4045.1141,W,1,W/m
heat_transfer,cooling_hole_05,-4747.4554,W,1,W/m
heat_transfer,cooling_hole_06,-4149.3561,W,1,W/m
heat_transfer,cooling_hole_07,-5093.573,W,1,W/m
heat_transfer,cooling_hole_08,-3484.1395,W,1,W/m
heat_transfer,cooling_hole_09,-2278.8939,W,1,W/m
heat_transfer,cooling_hole_10,-1691.692,W,1,W/m
heat_transfer,cooling_holes_total,-37576.796,W,1,W/m
wall_yplus,minimum,0.010504519032,-,1,-
wall_yplus,area_weighted_average,0.305993766054,-,1,-
wall_yplus,maximum,0.453601726975,-,1,-
