iteration,continuity,x_velocity,y_velocity,energy,k,omega
1,1,0.0126749532003,0.00764190007168,0.000322182715663,0.892857516677,137.847681436
2,0.803738747587,0.00681236592118,0.00536537121532,0.000401670039602,0.953539512133,0.491288980136
3,0.615990477469,0.00421911371046,0.00387861603295,0.000282956141567,0.916095453394,0.485829884191
4,0.600360457571,0.00232342905826,0.00267235547649,0.000251144284078,0.796560455404,0.475779581242
5,0.5293977364,0.00124079203351,0.00191177231108,0.000222902896638,0.479274831476,0.456613488576
6,0.427077858126,0.000654368908823,0.00135623821865,0.000144241839977,0.143665258141,0.419279482492
7,0.331972009037,0.000427945292204,0.00122689274622,0.000148684176852,0.0332150595914,0.350168586208
8,0.258046688428,0.000323640676303,0.00111373193186,0.000157835299032,0.0128176822406,0.250298120726
9,0.203716682562,0.000271469860963,0.00101940650536,0.000166354290216,0.00945495021065,0.146211975287
10,0.165254382309,0.000239116095012,0.000931985205138,0.000173716525886,0.00887621726601,0.0715828256001
11,0.139014563471,0.000216936741828,0.000849416463948,0.00017959596048,0.00881805899964,0.0318923819818
12,0.120616003876,0.000199383462749,0.000770185628541,0.000181422526481,0.00871788120618,0.0151877316921
13,0.108782582715,0.000183654783117,0.000696264779229,0.000179649926351,0.00895443999926,0.00814736224828
14,0.0997390500699,0.000168802317084,0.000628583421843,0.000175057339748,0.00959279082748,0.00525944343231
15,0.0923204645079,0.000154145741275,0.000567226943172,0.000168331665903,0.0103958554968,0.00413516794126
16,0.0859145720465,0.000139636637683,0.000511675153963,0.000160049233815,0.0110944762674,0.00377768228583
17,0.0795359464996,0.000125410971822,0.000460984890689,0.000151061366421,0.01145158431,0.00358971843734
18,0.0728813855363,0.000111643024082,0.000414908356852,0.000142185734529,0.0117176273818,0.00361355658655
19,0.0662787233295,9.84529490918e-05,0.000372905509752,0.000134302132365,0.0119326944992,0.00348114714568
20,0.059993883916,8.62546081747e-05,0.000334842044186,0.000127796641344,0.0122689752725,0.00358007222433
21,0.0542315993905,7.53496699023e-05,0.000300283272702,0.000122391160134,0.0127312930218,0.00404078611331
22,0.0489623645724,6.55328042033e-05,0.000268898919719,0.000116521773507,0.0133017813282,0.00476413611472
23,0.0440544077485,5.68154219975e-05,0.000240401061715,0.00011022839019,0.0138423436033,0.0056542264811
24,0.0398334863965,4.91969592483e-05,0.000214651314013,0.000103625497084,0.0139194767477,0.00663577166389
25,0.0361413949856,4.27623714044e-05,0.000191508302931,9.66505527527e-05,0.0130817741731,0.007682673198
26,0.032989604482,3.72264203284e-05,0.000170649911423,8.94664513124e-05,0.011552156811,0.00849818857016
27,0.0302756146313,3.24699229777e-05,0.000151705454037,8.233556497e-05,0.0101149774139,0.00884045950338
28,0.0279842928518,2.85460000058e-05,0.000134634537372,7.53495607753e-05,0.00903179131321,0.0089572002074
29,0.0259616905816,2.53132860313e-05,0.000119296282941,6.85737259322e-05,0.00812115011348,0.00891534671986
30,0.0240652310898,2.26147182512e-05,0.000105554441504,6.20742135777e-05,0.00722612394287,0.00890364826761
31,0.0222086358568,2.03035016242e-05,9.32916067394e-05,5.58484430568e-05,0.00644816150194,0.00872611277079
32,0.0204635663945,1.82947381123e-05,8.23559435813e-05,4.99582623867e-05,0.00582494887472,0.00841871819271
33,0.0189187060155,1.65285668348e-05,7.26418620191e-05,4.44893941939e-05,0.00532054017874,0.00790786282474
34,0.0176072263381,1.49859769791e-05,6.4032379082e-05,3.9472299573e-05,0.00489502525101,0.00733527067447
35,0.0164179595609,1.36454774195e-05,5.64159347488e-05,3.49196125373e-05,0.00452120687144,0.00683128821995
36,0.0152291849212,1.25084739276e-05,4.96982271484e-05,3.08158305591e-05,0.00418262599406,0.00637655831571
37,0.0140634265911,1.15965546883e-05,4.37832785112e-05,2.7132200115e-05,0.00386807705715,0.00594868182094
38,0.0129344795416,1.08833354394e-05,3.85798391439e-05,2.38426208038e-05,0.00353880950208,0.00556932039797
39,0.0118520603252,1.02423399358e-05,3.39908142661e-05,2.09249117555e-05,0.0032334450662,0.00519673638344
40,0.0108144305717,9.63218420207e-06,2.99483154164e-05,1.83468161103e-05,0.0028279780103,0.00485581304362
41,0.00979939638222,9.03489619495e-06,2.62812359711e-05,1.61239977506e-05,0.00260275267798,0.00447330618848
42,0.00897035389915,8.43145938356e-06,2.30634073237e-05,1.41452716159e-05,0.00239722393837,0.00416748951206
43,0.00819076833257,7.85068835664e-06,2.02292166292e-05,1.23954058823e-05,0.0022023538404,0.00388185734468
44,0.00744999507227,7.29431298897e-06,1.77333683841e-05,1.08606104103e-05,0.00201398183011,0.003595713946
45,0.00675964874815,6.76273208608e-06,1.55374560997e-05,9.52121553852e-06,0.001835738523,0.0033201145913
46,0.00612707829767,6.25539561126e-06,1.36164382242e-05,8.35162819071e-06,0.00166748168427,0.00305856488701
47,0.00554493096599,5.76297025066e-06,1.19361668341e-05,7.33286676789e-06,0.00150899171001,0.00281181592531
48,0.00502104048354,5.30200549396e-06,1.04626636036e-05,6.45072521877e-06,0.00136179107465,0.00258426947369
49,0.00455515959866,4.86344183346e-06,9.16688663988e-06,5.68431107527e-06,0.00122716291323,0.00237108576063
50,0.00413585449437,4.44504403686e-06,8.02377632805e-06,5.02098480304e-06,0.00110384111464,0.0021636291207
51,0.00376250594383,4.04680109084e-06,7.02040623344e-06,4.44479639731e-06,0.000992666269214,0.00198716961178
52,0.00343178834738,3.67080708797e-06,6.15050341328e-06,3.93946633293e-06,0.00087186460687,0.00180579894367
53,0.00312146921111,3.31313294142e-06,5.36483834706e-06,3.50167923618e-06,0.000786353819618,0.00164214825179
54,0.00286002714522,2.97381914362e-06,4.70027465006e-06,3.10458689995e-06,0.000710188120481,0.00148893700801
55,0.00262817992472,2.65944238233e-06,4.13395133993e-06,2.71510780898e-06,0.000640935542805,0.00170417221863
56,0.0024081536197,2.37268396576e-06,3.65205986911e-06,2.41309379287e-06,0.000575204334064,0.00124063168761
57,0.00220387044958,2.11179082783e-06,3.23368192464e-06,2.14636125379e-06,0.000517613277163,0.00105111927687
58,0.00202221554186,1.87427022173e-06,2.86909521087e-06,1.88762445606e-06,0.000465901947448,0.00117131109699
